x-axis,1,2,3
second,Volt,Volt,Volt
-147.200E-03,+1.693750E+00,+1.531250E+00,+1.880750E+00
-147.100E-03,+1.381250E+00,+1.687500E+00,+1.943250E+00
-147.000E-03,+1.412500E+00,+1.812500E+00,+1.974500E+00
-146.900E-03,+1.381250E+00,+1.843750E+00,+1.912000E+00
-146.800E-03,+1.412500E+00,+1.843750E+00,+1.849500E+00
-146.700E-03,+1.350000E+00,+1.781250E+00,+1.693250E+00
-146.600E-03,+1.350000E+00,+1.750000E+00,+1.630750E+00
-146.500E-03,+1.318750E+00,+1.625000E+00,+1.537000E+00
-146.400E-03,+1.381250E+00,+1.562500E+00,+1.443250E+00
-146.300E-03,+1.350000E+00,+1.500000E+00,+1.318250E+00
-146.200E-03,+1.350000E+00,+1.406250E+00,+1.318250E+00
-146.100E-03,+1.350000E+00,+1.312500E+00,+1.287000E+00
-146.000E-03,+1.318750E+00,+1.281250E+00,+1.255750E+00
-145.900E-03,+1.318750E+00,+1.281250E+00,+1.255750E+00
-145.800E-03,+1.350000E+00,+1.250000E+00,+1.255750E+00
-145.700E-03,+1.318750E+00,+1.250000E+00,+1.287000E+00
-145.600E-03,+1.350000E+00,+1.250000E+00,+1.318250E+00
-145.500E-03,+1.287500E+00,+1.281250E+00,+1.318250E+00
-145.400E-03,+1.287500E+00,+1.250000E+00,+1.318250E+00
-145.300E-03,+1.318750E+00,+1.312500E+00,+1.318250E+00
-145.200E-03,+1.256250E+00,+1.281250E+00,+1.318250E+00
-145.100E-03,+1.287500E+00,+1.312500E+00,+1.349500E+00
-145.000E-03,+1.256250E+00,+1.250000E+00,+1.349500E+00
-144.900E-03,+1.256250E+00,+1.343750E+00,+1.349500E+00
-144.800E-03,+1.193750E+00,+1.312500E+00,+1.349500E+00
-144.700E-03,+1.193750E+00,+1.281250E+00,+1.318250E+00
-144.600E-03,+1.193750E+00,+1.281250E+00,+1.318250E+00
